"activity","imageID","image","oocyte","area","mean","n_pixels","cum_intensity"
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_1",778.2179,128.3796,172885,22194905
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_2",595.0935,60.9584,132203,8058882
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_3",602.5208,32.9671,133853,4412742
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_4",426.2294,27.1014,94689,2566202
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_5",383.2414,25.3139,85139,2155201
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_6",431.5455,30.5071,95870,2924714
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_7",304.6522,31.7238,67680,2147064
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_1",556.2558,156.9387,123575,19393697
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_2",584.0157,111.6521,129742,14485973
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_3",528.1583,65.7287,117333,7712143
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_4",510.1258,33.6154,113327,3809531
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_5",455.6188,21.1756,101218,2143353
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_6",465.9585,18.3064,103515,1894983
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_7",304.6522,32.513,67680,2200482
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_1",809.3898,153.8633,179810,27666165
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_2",439.9676,96.2182,97741,9404465
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_3",453.7463,42.3716,100802,4271139
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_4",560.7481,23.9697,124573,2985972
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_5",633.4271,19.9331,140719,2804972
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_6",505.2508,21.551,112244,2418971
